loss,mean_iou,mean_accuracy,epoch,step
2.1282691955566406,0.04432793129437077,0.09992881741276939,0,49
1.7923011779785156,0.13703195855019792,0.26194327089259206,0,99
1.1202096939086914,0.15134771621501517,0.2599916763614782,1,149
1.6238471269607544,0.15333524017804123,0.2510438851425052,1,199
1.982662558555603,0.14034937981941492,0.27137893655679884,2,249
0.8370125889778137,0.16812408629569703,0.2676978344280093,2,299
1.1709561347961426,0.22181846309735848,0.28474012413461297,3,349
1.1210867166519165,0.29180597077009185,0.3608103779305943,3,399
0.8590385317802429,0.21712677801369829,0.29204561930435935,4,449
0.8510238528251648,0.23431029936080744,0.29168433509802266,4,499
0.7976112961769104,0.2895294664066793,0.3410043441554049,5,549
0.786384642124176,0.27614682506239696,0.341050217237828,5,599
0.6612626314163208,0.37562736217053827,0.474450034918158,6,649
0.5706538558006287,0.2631968528937742,0.313082023095909,6,699
0.6449198722839355,0.23695651928054678,0.3115777681239203,6,749
1.714632511138916,0.23225913759760328,0.2990183886137337,7,799
0.5545766353607178,0.28374995433709055,0.36653348091821353,7,849
0.6067925691604614,0.2435788549885511,0.3069089943641095,8,899
0.2506174147129059,0.23181101056617967,0.28806526306854596,8,949
1.1185065507888794,0.3778274178886729,0.45473645514734645,9,999
0.4695049822330475,0.33723690920102734,0.39150775584666275,9,1049
1.023298740386963,0.2106584357409833,0.28974679362996686,10,1099
0.2733403742313385,0.31823693354361343,0.3754553675349059,10,1149
0.7102559804916382,0.3587738568612283,0.41792768625646076,11,1199
0.5565454959869385,0.3242066511583452,0.3864430413039898,11,1249
0.558403491973877,0.370575969973572,0.4522009127083691,12,1299
0.17535844445228577,0.2984268769572525,0.3496138602286556,12,1349
0.394606351852417,0.334002371262196,0.4068108111713505,12,1399
0.48355069756507874,0.29359334937451476,0.35726794956162233,13,1449
0.24534952640533447,0.3698408696514428,0.4331229057216435,13,1499
0.28509098291397095,0.5580135063849964,0.6159936812600615,14,1549
0.4851548969745636,0.3423125508539689,0.41574229846421545,14,1599
0.5927249789237976,0.3750912687726194,0.4413820203116795,15,1649
0.2510216236114502,0.3867690119596738,0.43397266192918993,15,1699
0.36245256662368774,0.4525308104562818,0.5242411219499624,16,1749
0.1481112837791443,0.4093651209513653,0.45098274540896277,16,1799
1.2903269529342651,0.36290500616980653,0.40927156478819793,17,1849
0.5467411875724792,0.5228610307422612,0.6100781089329638,17,1899
0.2401341050863266,0.35431376862890407,0.4348565622957465,18,1949
0.371624618768692,0.31482744140031466,0.37647916025384653,18,1999
0.5275998711585999,0.3181190519640663,0.38912767889890876,18,2049
1.3363029956817627,0.2700085285462029,0.36356797488263454,19,2099
0.17387136816978455,0.3848213033957449,0.4730576115477613,19,2149
0.40658095479011536,0.4014200538684673,0.4624771880382547,20,2199
0.6290999054908752,0.401333657641566,0.4795390542391358,20,2249
